Feature,Importance
V1,0.02395389
V2,0.013509284
V3,0.017613346
V4,0.054535545
V5,0.0043882066
V6,0.0056363954
V7,0.0073921955
V8,0.02445883
V9,0.0043653864
V10,0.020699736
V11,0.0136972135
V12,0.0384334
V13,0.004062373
V14,0.62687904
V15,0.00618275
V16,0.0073530427
V17,0.01891393
V18,0.010152433
V19,0.010117017
V20,0.0061787562
V21,0.005887573
V22,0.0054206965
V23,0.009276703
V24,0.0030607572
V25,0.006129409
V26,0.005486021
V27,0.0042795455
V28,0.008157458
Amount,0.015633022
Hour,0.011683528
Is_Night,0.0056949495
Amount_Scaled,0.0007676061
Amount_high,0.0
